geofips,location_name,state,geography_type,year,mode,dest,orig,vmt,dist_within,inflow,outflow
6015,Del Norte County,CA,county,2021,CARPOOL,70114032,61331974,65723003,35737360,17188336,12797307
6015,Del Norte County,CA,county,2021,COMMERCIAL,9612299,10620198,10116249,2914147,3349076,3853026
6015,Del Norte County,CA,county,2021,ON_DEMAND_AUTO,591887,720063,655975,542485,24701,88789
6015,Del Norte County,CA,county,2021,OTHER_TRAVEL_MODE,23798434,70992092,47395263,995432,11401501,34998330
6015,Del Norte County,CA,county,2021,PRIVATE_AUTO,198567509,205204487,201885998,105372367,46597571,49916060
6015,Del Norte County,CA,county,2021,WALKING,2580460,2584003,2582232,2580324,68,1840
6015,Del Norte County,CA,county,2022,BIKING,1517183,1546973,1532078,1498512,9336,24231
6015,Del Norte County,CA,county,2022,CARPOOL,65286231,71677978,68482105,41999836,11643197,14839071
6015,Del Norte County,CA,county,2022,COMMERCIAL,22164487,22991805,22578146,7197385,7483551,7897210
6015,Del Norte County,CA,county,2022,ON_DEMAND_AUTO,635456,729760,682608,540807,47324,94477
6015,Del Norte County,CA,county,2022,OTHER_TRAVEL_MODE,40287648,100071954,70179801,1401599,19443024,49335178
6015,Del Norte County,CA,county,2022,PRIVATE_AUTO,186169000,182753282,184461141,96974920,44597040,42889181
6015,Del Norte County,CA,county,2022,WALKING,4242453,4243969,4243211,4242453,0,758
